Source,Target,Type,Weight
565,2924,Directed,1
565,1139,Directed,1
565,2928,Directed,1
565,2322,Directed,1
565,2929,Directed,1
565,2324,Directed,1
565,4641,Directed,1
565,4079,Directed,1
565,4640,Directed,1
565,522,Directed,1
565,2932,Directed,1
565,2325,Directed,1
565,524,Directed,1
565,2326,Directed,1
565,1144,Directed,1
565,2327,Directed,1
565,4086,Directed,1
565,1150,Directed,1
565,1151,Directed,1
565,4651,Directed,1
565,4090,Directed,1
565,4091,Directed,1
565,2950,Directed,1
565,529,Directed,1
565,530,Directed,1
565,1157,Directed,1
565,2952,Directed,1
565,1159,Directed,1
565,2953,Directed,1
565,4653,Directed,1
565,2338,Directed,1
565,1166,Directed,1
565,2344,Directed,1
565,1741,Directed,1
565,1170,Directed,1
565,3542,Directed,1
565,2957,Directed,1
565,4659,Directed,1
565,4660,Directed,1
565,2347,Directed,1
565,2958,Directed,1
565,4662,Directed,1
565,2349,Directed,1
565,4663,Directed,1
565,1182,Directed,1
565,546,Directed,1
565,2965,Directed,1
565,3553,Directed,1
565,547,Directed,1
565,548,Directed,1
565,4665,Directed,1
565,1750,Directed,1
565,1752,Directed,1
565,2357,Directed,1
565,4671,Directed,1
565,4111,Directed,1
565,558,Directed,1
565,2364,Directed,1
565,4674,Directed,1
565,2973,Directed,1
565,2366,Directed,1
565,2368,Directed,1
566,1194,Directed,1
566,3,Directed,1
566,1197,Directed,1
566,1771,Directed,1
566,566,Directed,1
566,2980,Directed,1
566,567,Directed,1
566,10,Directed,1
566,3574,Directed,1
566,4123,Directed,1
566,2388,Directed,1
566,1786,Directed,1
566,578,Directed,1
566,2393,Directed,1
566,1789,Directed,1
566,2993,Directed,1
566,2395,Directed,1
566,1792,Directed,1
566,2397,Directed,1
566,3584,Directed,1
566,27,Directed,1
566,2997,Directed,1
566,3590,Directed,1
566,28,Directed,1
566,30,Directed,1
566,3592,Directed,1
566,2403,Directed,1
566,3002,Directed,1
566,4146,Directed,1
566,35,Directed,1
566,2410,Directed,1
566,44,Directed,1
566,3600,Directed,1
566,47,Directed,1
566,48,Directed,1
566,1234,Directed,1
566,1238,Directed,1
566,1240,Directed,1
566,3606,Directed,1
566,1241,Directed,1
566,4149,Directed,1
